objective_id,domain,domain_weight_pct,service,objective,trigger,correct,why,distractors
SAA-013,Security,30,S3 Security,Audit S3 API activity,security team must know who changed bucket settings or accessed sensitive objects,Use CloudTrail management events and enable S3 data events where object-level auditing is required,CloudTrail records API identity and request details; data events cover object operations.,Use only CloudWatch CPU metrics | Enable S3 Inventory only | Use Route 53 query logging
SAA-014,Security,30,S3 Security,Require TLS for S3,bucket must reject unencrypted transport,Add a bucket policy that denies requests when aws:SecureTransport is false,The policy condition explicitly rejects HTTP requests.,Enable SSE-S3 | Use an NACL on the bucket | Set a lifecycle rule
SAA-015,Security,30,S3 Security,Prevent deletion of compliance records,objects must be immutable for a defined retention period,Use S3 Object Lock in compliance mode with versioning,"Compliance mode prevents deletion or retention reduction, including by root.",Use S3 Standard-IA | Use MFA on console sign-in only | Disable lifecycle rules
SAA-016,Security,30,Network Security,Filter traffic at the instance level,stateful allow rules are required for ENIs,Use security groups,Security groups are stateful and attach to network interfaces.,Use only route tables | Use a stateless network ACL for application identity | Use IAM permission boundaries
SAA-017,Security,30,Network Security,Filter traffic at the subnet boundary,stateless allow and deny rules are required,Use network ACLs,NACLs are stateless subnet-level controls and support explicit denies.,Use security groups only | Use Route 53 Resolver rules | Use KMS grants
SAA-018,Security,30,Network Security,Inspect VPC traffic centrally,multiple VPCs need managed network firewalling,"Use AWS Network Firewall with centralized routing, often through Transit Gateway",Network Firewall provides managed stateful inspection and rule groups.,Install a browser extension | Use CloudTrail alone | Use S3 Block Public Access
SAA-019,Security,30,Network Security,Protect web applications from injection,internet application must block SQL injection and XSS patterns,Associate an AWS WAF web ACL with CloudFront or the ALB,WAF evaluates layer-7 request patterns and managed rules.,Use Shield Standard alone | Block port 443 | Use an IAM policy
SAA-020,Security,30,Network Security,Protect against large DDoS attacks,business-critical public endpoints need enhanced DDoS response and cost protection,Use AWS Shield Advanced with protected resources and response support,"Shield Advanced adds enhanced detection, response assistance, and eligible cost protection.",Use GuardDuty as an inline firewall | Use only a private subnet for all public users | Enable EBS encryption
SAA-021,Security,30,Detection and Governance,Detect suspicious account activity,identify compromised credentials and anomalous API behavior,Enable Amazon GuardDuty across accounts and regions,"GuardDuty analyzes sources such as CloudTrail, DNS, and VPC flow information for threats.",Use Trusted Advisor only | Use AWS Budgets | Use S3 lifecycle rules
SAA-022,Security,30,Detection and Governance,Record configuration compliance,continuously evaluate resources against desired rules,Use AWS Config rules and an aggregator,Config records resource configuration and evaluates compliance over time.,Use CloudWatch Logs without rules | Use Route 53 health checks | Use ECR image scanning only
SAA-023,Security,30,Detection and Governance,Centralize audit logs,organization needs tamper-resistant logs from every account,Create an organization CloudTrail trail to a protected central log account,An organization trail provides centralized API history beyond member account control.,Ask each team to export logs manually | Store logs on instance volumes | Use only ALB access logs
SAA-024,Security,30,Detection and Governance,Find sensitive data in S3,discover buckets containing sensitive information,Use Amazon Macie,Macie uses managed data identifiers and machine learning to discover sensitive S3 data.,Use Inspector | Use Compute Optimizer | Use Route 53 Resolver
SAA-025,Security,30,Detection and Governance,Assess EC2 and container vulnerabilities,scan supported compute workloads and images for software vulnerabilities,Use Amazon Inspector,Inspector performs continuous vulnerability scanning for supported workloads.,Use Macie | Use AWS Budgets | Use Global Accelerator
SAA-026,Security,30,Secrets and Certificates,Manage public TLS certificates,ALB or CloudFront needs a managed certificate with renewal,Use AWS Certificate Manager,ACM provisions and renews supported public certificates integrated with AWS services.,Store a self-signed certificate in S3 publicly | Use KMS as a certificate authority | Use an IAM access key as a certificate
SAA-027,Security,30,Secrets and Certificates,Issue private certificates,internal workloads need a managed private PKI,Use AWS Private CA,Private CA provides managed private certificate authority capabilities.,Use Route 53 hosted zones | Use Cognito identity pools | Use AWS Backup
SAA-028,Security,30,Secrets and Certificates,Store nonsecret configuration,application needs hierarchical configuration values,Use Systems Manager Parameter Store,Parameter Store is suitable for configuration and supports SecureString where needed.,Use an SQS message as permanent configuration | Use a security group description | Use CloudTrail event history
SAA-029,Security,30,Secrets and Certificates,Share secrets across accounts,workload in another account needs controlled secret retrieval,Use a resource policy on Secrets Manager plus KMS permissions,Cross-account secret access requires both the secret resource policy and encryption-key authorization.,Copy the secret into source code | Email the secret to administrators | Use a public S3 object
SAA-030,Security,30,Secrets and Certificates,Authenticate application users,"consumer application needs registration, sign-in, and tokens",Use Amazon Cognito user pools,User pools provide a managed user directory and standards-based tokens.,Create IAM users for every consumer | Use security groups for user authentication | Use Route 53 weighted routing
SAA-031,Security,30,Private Connectivity,Access S3 privately from a VPC,private subnets need S3 without NAT or internet,Use an S3 gateway VPC endpoint,Gateway endpoints provide private S3 routing without NAT charges.,Use an internet gateway on the private subnet | Use Global Accelerator | Use a NAT gateway only
SAA-032,Security,30,Private Connectivity,Access SQS privately from a VPC,private workloads need SQS without public internet,Use an interface VPC endpoint for SQS,The PrivateLink-powered endpoint provides private IP connectivity to SQS.,Use an S3 gateway endpoint | Assign public IP addresses | Use a peering connection to the SQS service VPC
SAA-033,Security,30,Private Connectivity,Expose a private service to consumers,service provider must offer private cross-VPC access without full network connectivity,Use AWS PrivateLink with an endpoint service and interface endpoints,PrivateLink exposes specific services privately without transitive network access.,Use VPC peering for every consumer and overlapping CIDRs | Publish the service to the internet | Use an S3 access point
SAA-034,Security,30,Private Connectivity,Connect API Gateway to private targets,REST API must reach private ALB or NLB resources,Use API Gateway VPC Link,VPC Link provides managed private integration from API Gateway into a VPC.,Attach a security group directly to API Gateway | Use an internet gateway | Use CloudFront signed cookies
SAA-035,Security,30,Private Connectivity,Resolve hybrid DNS names,on-premises systems and VPCs need bidirectional DNS resolution,Use Route 53 Resolver inbound and outbound endpoints with rules,Resolver endpoints bridge DNS queries between VPC and on-premises networks.,Use public hosted zones only | Use an NAT instance as a DNS server | Use IAM Identity Center
SAA-036,Security,30,Organizations and Accounts,Create a governed multi-account environment,organization needs account vending and preventive controls,Use AWS Control Tower with Organizations,Control Tower establishes a landing zone and applies governance controls.,Create all workloads in one account | Use Route 53 domains for governance | Use an Auto Scaling group
SAA-037,Security,30,Organizations and Accounts,Separate security logs from workloads,workload administrators must not alter centralized logs,Use a dedicated log archive account with restrictive SCPs and bucket policies,Account separation and guardrails reduce tampering risk.,Store logs in each workload account root volume | Give all developers bucket administrator access | Disable CloudTrail after exporting
SAA-038,Security,30,Organizations and Accounts,Delegate security administration,security team needs centralized management of supported services without management-account daily use,Configure delegated administrator accounts,Delegated administration limits use of the management account while centralizing service administration.,Share management-account root credentials | Create IAM users with identical passwords | Use a VPC endpoint policy
SAA-039,Security,30,Organizations and Accounts,Restrict regions,member accounts must use only approved AWS regions,Use an SCP that denies actions outside approved regions with required global-service exceptions,SCP conditions can limit regional API use while preserving necessary global services.,Delete route tables in other regions | Use a security group | Use AWS Budgets only
SAA-040,Security,30,Organizations and Accounts,Standardize account creation,"new accounts need baseline networks, logging, and roles",Use Account Factory or an automated account vending pipeline,Automated account provisioning applies repeatable baselines.,Clone an EC2 instance manually | Copy root credentials | Use S3 replication
SAA-041,Security,30,CloudFront Access,Restrict premium downloads,only authorized users may access private CloudFront content,Use CloudFront signed URLs or signed cookies with a trusted key group,Signed access controls viewer authorization for private distributions.,Use an S3 public ACL | Use Route 53 health checks | Use EBS snapshots
SAA-042,Security,30,CloudFront Access,Apply geolocation restrictions,content must be blocked or allowed by country,Use CloudFront geographic restrictions or AWS WAF geo match rules,These controls evaluate viewer geography at the edge.,Use EC2 placement groups | Use KMS rotation | Use DynamoDB TTL
SAA-043,Security,30,CloudFront Access,Secure origin communication,CloudFront must use HTTPS to a custom origin,Set the origin protocol policy to HTTPS only and use a valid certificate,This encrypts CloudFront-to-origin traffic.,Set viewer protocol only and allow HTTP to origin | Use an NACL on CloudFront | Use IAM users
SAA-044,Security,30,CloudFront Access,Protect origin from direct requests,custom origin should accept traffic only from the distribution,Use a secret custom header validated at the origin and restrict network access where supported,A shared header and origin restrictions reduce bypass paths.,Publish the origin DNS name | Allow 0.0.0.0/0 on every port | Disable TLS
SAA-045,Security,30,CloudFront Access,Run edge authorization logic,request needs lightweight authentication or header logic near viewers,Use CloudFront Functions or Lambda@Edge according to runtime requirements,Edge compute can evaluate and transform viewer or origin requests.,Use EBS Multi-Attach | Use DMS CDC | Use Storage Gateway
SAA-046,Security,30,Database Security,Authenticate RDS without long-lived passwords,application needs temporary database authentication,Use IAM database authentication for a supported RDS or Aurora engine,IAM DB authentication uses short-lived signed tokens.,Store a permanent password in code | Use a public database endpoint | Use an S3 presigned URL
SAA-047,Security,30,Database Security,Protect an RDS database in private subnets,database must not be directly reachable from the internet,Place RDS in private subnets and allow only application security groups,Private placement and SG referencing limit network exposure.,Assign an Elastic IP to RDS | Open port 3306 to the internet | Use a public S3 bucket
SAA-048,Security,30,Database Security,Encrypt database replicas,encrypted RDS database requires encrypted read replicas and snapshots,Use KMS-backed encryption and copy snapshots with an appropriate key when crossing regions,Encryption propagates according to service rules and cross-region copies need key configuration.,Turn off encryption during replication | Use security groups as encryption | Use Route 53 DNSSEC
SAA-049,Security,30,Database Security,Audit database activity,regulated database needs detailed activity monitoring,Use engine-native audit features or Database Activity Streams where supported,Database-level auditing captures activity beyond infrastructure API calls.,Use only CloudTrail management events | Use CloudFront access logs | Use S3 Transfer Acceleration
SAA-050,Security,30,Database Security,Protect DynamoDB access by item,mobile users may access only their own partition-key items,Use Cognito identities with IAM conditions such as LeadingKeys,Fine-grained IAM conditions restrict operations to authorized partition keys.,Make the table public | Use a security group on DynamoDB | Give every user the same administrator key
SAA-051,Resilience,26,EC2 and Auto Scaling,Replace unhealthy application instances,load-balanced instances must be replaced after application health failure,Configure the Auto Scaling group to use ELB health checks,The ASG can terminate and replace targets that fail load-balancer checks.,Use EC2 status checks only | Reduce desired capacity | Create a larger instance
SAA-052,Resilience,26,EC2 and Auto Scaling,Survive an Availability Zone failure,stateless application requires high availability,Distribute an Auto Scaling group and load balancer across multiple AZs,Multi-AZ capacity removes a single-AZ dependency.,Run all instances in one AZ | Use one larger instance | Use an Elastic IP only
SAA-053,Resilience,26,EC2 and Auto Scaling,Preserve capacity during deployments,rolling update must avoid dropping below healthy capacity,Use an Auto Scaling instance refresh with suitable minimum healthy percentage,Instance refresh replaces capacity while enforcing health thresholds.,Terminate all instances first | Disable health checks | Use Spot only with no diversification
SAA-054,Resilience,26,EC2 and Auto Scaling,Handle unpredictable traffic,web tier must scale automatically with demand,Use target tracking scaling on a meaningful utilization or request metric,Target tracking adjusts desired capacity to maintain a target value.,Use a fixed fleet sized for peak forever | Scale from a manual email | Use an S3 lifecycle rule
SAA-055,Resilience,26,EC2 and Auto Scaling,Rebalance Spot interruption risk,fault-tolerant fleet needs diverse low-cost capacity,Use an Auto Scaling mixed instances policy with multiple instance types and capacity-optimized Spot allocation,Diversification and capacity optimization reduce interruption concentration.,Use one Spot instance type in one AZ | Use Dedicated Hosts | Use a single Reserved Instance
SAA-056,Resilience,26,RDS and Aurora,Provide automatic database failover,relational database needs standby-based HA,Use RDS Multi-AZ deployment,Multi-AZ maintains synchronous standby capacity and automates failover.,Use a same-AZ read replica | Take weekly snapshots only | Increase storage size
SAA-057,Resilience,26,RDS and Aurora,Scale reads independently,read-heavy relational workload needs more read throughput,Create RDS or Aurora read replicas and direct reads appropriately,Read replicas offload read-only traffic from the writer.,Use Multi-AZ standby as a read endpoint for legacy deployments | Increase backup retention | Use S3 Glacier
SAA-058,Resilience,26,RDS and Aurora,Achieve regional database recovery,critical database needs cross-region low-RPO capability,Use Aurora Global Database or cross-region replicas according to engine and RPO needs,Cross-region replication keeps a secondary region closer to recovery readiness.,Use a local snapshot only | Use one Multi-AZ deployment and assume region protection | Use a larger instance
SAA-059,Resilience,26,RDS and Aurora,Recover from accidental data changes,database needs restoration to a precise recent time,Enable automated backups and use point-in-time recovery,PITR replays transaction logs within the retention window.,Use a read replica as the only backup | Use CloudFront cache | Use an Elastic IP
SAA-060,Resilience,26,RDS and Aurora,Improve Aurora failover behavior,applications need fast reconnection after writer failure,Use the Aurora cluster endpoint and suitable retry/backoff logic,The cluster endpoint follows the current writer after failover.,Hardcode the writer instance IP | Connect through a public NAT gateway | Use an S3 website endpoint
SAA-061,Resilience,26,S3 Durability and Recovery,Recover overwritten objects,users may accidentally overwrite or delete objects,Enable S3 Versioning,Versioning retains prior object versions and delete markers.,Use Transfer Acceleration | Use a public ACL | Use One Zone-IA only
SAA-062,Resilience,26,S3 Durability and Recovery,Replicate objects to another region,S3 data needs asynchronous regional copies,Configure S3 Cross-Region Replication with versioning and required permissions,CRR asynchronously copies eligible objects to another region.,Use Multi-AZ EBS | Use a NAT gateway | Use an ALB
SAA-063,Resilience,26,S3 Durability and Recovery,Replicate existing S3 objects,replication is enabled after a large existing dataset already exists,Use S3 Batch Replication,Batch Replication can replicate existing objects not handled by live replication.,Reupload every object manually | Use CloudFront invalidation | Use DynamoDB Streams
SAA-064,Resilience,26,S3 Durability and Recovery,Protect backups from deletion,backup copies require immutable retention,Use S3 Object Lock or AWS Backup Vault Lock as appropriate,Immutable retention protects recovery data from deletion or alteration.,Use Standard-IA only | Use lifecycle expiration immediately | Give administrators full delete permission
SAA-065,Resilience,26,S3 Durability and Recovery,Validate large data transfers,copied objects must be checked for integrity,Use checksums and DataSync verification or service-native validation,Integrity verification detects transfer corruption or mismatch.,Compare filenames only | Disable encryption | Use Route 53 latency routing
SAA-066,Resilience,26,Route 53 and Global Routing,Fail over between endpoints,DNS should direct users to a healthy secondary endpoint,Use Route 53 failover routing with health checks or Evaluate Target Health,Failover records return the secondary when the primary is unhealthy.,Use simple routing without health checks | Use an MX record | Use a NAT gateway
SAA-067,Resilience,26,Route 53 and Global Routing,Route to the lowest-latency region,global users should reach a responsive regional deployment,Use Route 53 latency-based routing with health evaluation,Latency routing selects the region with lowest measured DNS latency among healthy records.,Use weighted routing with equal weights only | Use a private hosted zone for internet users | Use S3 lifecycle rules
SAA-068,Resilience,26,Route 53 and Global Routing,Shift traffic gradually,deployment needs controlled percentage-based DNS traffic movement,Use Route 53 weighted routing,Weighted records distribute responses according to assigned weights.,Use geoproximity without bias | Use a CNAME at the zone apex | Use an NACL
SAA-069,Resilience,26,Route 53 and Global Routing,Avoid DNS cache delays for endpoint failover,application requires static anycast IPs and rapid traffic redirection,Use AWS Global Accelerator,Global Accelerator routes through static anycast IPs and health-based endpoint selection.,Lower DNS TTL to zero and rely only on caching behavior | Use S3 Transfer Acceleration | Use AWS Backup
SAA-070,Resilience,26,Route 53 and Global Routing,Recover a static website regionally,static site needs secondary-region origin recovery,Replicate S3 content and use CloudFront origin failover or Route 53 failover architecture,A second origin plus health-aware routing preserves availability.,Enable versioning only | Use one origin and a long TTL | Use one larger bucket
SAA-071,Resilience,26,Messaging and Decoupling,Buffer traffic spikes,producer rate can exceed consumer capacity,Place Amazon SQS between producers and consumers,SQS durably buffers messages and decouples processing rates.,Call consumers synchronously only | Increase producer timeout indefinitely | Use an EBS volume as a queue
SAA-072,Resilience,26,Messaging and Decoupling,Handle repeatedly failing messages,bad messages must not block normal queue processing,Configure an SQS dead-letter queue and redrive policy,A DLQ isolates messages that exceed the receive count.,Set visibility timeout to zero | Delete all failed messages immediately | Use a public SNS topic
SAA-073,Resilience,26,Messaging and Decoupling,Fan out events,one event must be delivered to multiple independent consumers,Publish to SNS with separate SQS subscriptions,SNS fanout plus queues gives each consumer a durable independent buffer.,Use one shared SQS queue for all consumers that each need every message | Use a single EC2 cron job | Use EFS locks
SAA-074,Resilience,26,Messaging and Decoupling,Preserve ordering and deduplicate,business events require ordered exactly-once processing semantics within queue constraints,Use an SQS FIFO queue with message group and deduplication IDs,FIFO queues preserve per-group order and suppress duplicates within the deduplication window.,Use a standard queue and sort by arrival time | Use SNS email | Use a NAT gateway
SAA-075,Resilience,26,Messaging and Decoupling,Coordinate distributed workflow steps,long-running workflow needs retries and state transitions,Use AWS Step Functions,"Step Functions models workflow state, retries, catches, and service integrations.",Use one Lambda invocation that waits for days | Use CloudTrail | Use Route 53 Resolver
SAA-076,Resilience,26,Backup and Disaster Recovery,Centralize backups,multiple accounts need policy-based backup management,Use AWS Backup with Organizations policies and a vault,"AWS Backup centralizes schedules, retention, and supported-resource recovery points.",Use manual snapshots in each account only | Use CloudFront logs | Use IAM users
SAA-077,Resilience,26,Backup and Disaster Recovery,Protect backups from account compromise,recovery points must survive workload account deletion or compromise,Copy backups cross-account and apply Vault Lock where required,Separate accounts and immutable retention improve ransomware resilience.,Keep only local snapshots in the workload account | Grant delete to all operators | Disable encryption
SAA-078,Resilience,26,Backup and Disaster Recovery,Implement pilot light DR,critical data stays replicated while compute remains minimal,"Maintain replicated data and core services, then scale compute during recovery",Pilot light balances cost with faster recovery than backup-and-restore.,Run full production capacity in both regions | Keep only offline tapes with no automation | Use one AZ
SAA-079,Resilience,26,Backup and Disaster Recovery,Implement warm standby DR,secondary region should run reduced but functional capacity,Run a scaled-down copy in the recovery region and scale up during failover,Warm standby offers lower RTO than pilot light at higher steady cost.,Keep no running resources | Use DNS only with no secondary stack | Run active-active full capacity
SAA-080,Resilience,26,Backup and Disaster Recovery,Implement backup and restore DR,workload tolerates higher RTO and seeks lowest steady cost,"Back up data and infrastructure definitions, then recreate during recovery",Backup and restore minimizes idle cost but requires the most recovery time.,Use active-active routing | Use one larger instance | Use only Multi-AZ for regional disaster
SAA-081,Resilience,26,Containers and Serverless,Keep ECS service task count healthy,container service must replace stopped or unhealthy tasks,Use an ECS service with desired count and load balancer health checks,The ECS scheduler maintains desired task count and replaces unhealthy tasks.,Run standalone tasks manually | Use one EC2 instance with no scheduler | Use S3 event notifications
SAA-082,Resilience,26,Containers and Serverless,Run containers across AZs,Fargate service must tolerate an AZ outage,Configure subnets in multiple AZs and spread tasks through an ECS service,Multi-AZ task placement avoids a single subnet or AZ dependency.,Use one subnet | Use one large task | Use a Dedicated Host only
SAA-083,Resilience,26,Containers and Serverless,Protect Lambda from downstream overload,serverless concurrency spike can exhaust a database,Set reserved concurrency and use buffering or RDS Proxy,Concurrency controls and connection pooling protect constrained dependencies.,Set no limit and open more database connections per invocation | Use an internet gateway | Use S3 Glacier
SAA-084,Resilience,26,Containers and Serverless,Retry asynchronous Lambda failures,asynchronous events need controlled retries and failure capture,Configure Lambda destinations or a dead-letter queue,Destinations or DLQs preserve failed asynchronous invocation records.,Swallow errors permanently | Use EC2 user data | Use a public IP
SAA-085,Resilience,26,Containers and Serverless,Deploy Lambda safely,new function version needs gradual exposure and automatic rollback,Use aliases with CodeDeploy canary or linear traffic shifting and alarms,Versioned traffic shifting limits blast radius and supports rollback.,Update $LATEST for all traffic immediately | Use Route 53 MX records | Use EBS snapshots
SAA-086,Resilience,26,Data Migration and Replication,Migrate a live database with minimal downtime,source remains online while data is copied and changes continue,Use AWS DMS full load plus CDC,DMS loads existing data and then applies captured source changes for cutover.,Use DataSync for relational transaction logs | Use a one-time snapshot only while writes continue | Use S3 Transfer Acceleration
SAA-087,Resilience,26,Data Migration and Replication,Replicate only ongoing database changes,bulk data is loaded with native tools and source changes must stay synchronized,Use an AWS DMS CDC-only task from a known start position,CDC-only complements a separate bulk load and applies ongoing log changes.,Run repeated full exports | Use Storage Gateway | Use CloudFront
SAA-088,Resilience,26,Data Migration and Replication,Migrate heterogeneous schemas,Oracle schema must be converted for PostgreSQL,"Use AWS Schema Conversion Tool or DMS Schema Conversion, then AWS DMS for data",Schema conversion handles incompatible database objects; DMS moves data.,Use DMS data task alone for all incompatible code | Use DataSync | Use EFS replication
SAA-089,Resilience,26,Data Migration and Replication,Transfer on-premises files repeatedly,NFS or SMB data needs scheduled incremental transfer to AWS storage,Use AWS DataSync with an agent near the source when required,"DataSync performs accelerated, incremental, verified file or object transfers.",Use DMS | Use Route 53 | Use an ALB
SAA-090,Resilience,26,Data Migration and Replication,Transfer petabyte data over a slow link,network transfer would take too long for a one-time migration,Use an AWS Snow Family device and optionally DataSync for deltas,Offline transfer handles bulk data; online delta sync can reduce cutover time.,Use a NAT gateway only | Use CloudWatch Logs | Use an SQS queue as storage
SAA-091,Resilience,26,Storage Resilience,Provide shared POSIX file storage across AZs,Linux instances need a managed regional file system,Use Amazon EFS regional storage class,Regional EFS stores data across multiple AZs and supports concurrent NFS access.,Use instance store | Use one EBS volume in one AZ | Use S3 website hosting
SAA-092,Resilience,26,Storage Resilience,Provide Windows shared storage with HA,Windows applications require managed SMB file shares,Use Amazon FSx for Windows File Server Multi-AZ,Multi-AZ FSx provides managed SMB with standby file server capability.,Use EFS for native SMB | Use instance store | Use S3 Glacier
SAA-093,Resilience,26,Storage Resilience,Recover an EBS volume,block storage needs durable backup and recreation,Create EBS snapshots and copy them where recovery requires,Snapshots are incremental durable backups that can create new volumes.,Use RAID 0 as backup | Use an Elastic IP | Use CloudFront caching
SAA-094,Resilience,26,Storage Resilience,Avoid single-AZ EBS dependency,application data must survive AZ loss,Replicate at the application layer or use a regional managed storage/database service,"An EBS volume is AZ-scoped, so regional resilience requires replication beyond one volume.",Attach the same standard EBS volume to another AZ | Increase volume size | Use a public subnet
SAA-095,Resilience,26,Storage Resilience,Restore EBS performance immediately,new volume from snapshot must deliver full performance without initialization delay,Enable Fast Snapshot Restore in the target AZ,FSR creates fully initialized volumes from enabled snapshots.,Increase DNS TTL | Use S3 lifecycle | Use NAT instance
SAA-096,Resilience,26,Event Routing,Route events by content,many AWS events need rule-based delivery to targets,Use Amazon EventBridge rules and event patterns,EventBridge filters event envelopes and routes matching events.,Use one polling EC2 server | Use EBS snapshots | Use Route 53 geolocation
SAA-097,Resilience,26,Event Routing,Archive and replay events,application needs to replay past events after a defect,Use EventBridge archive and replay,EventBridge can retain matching events and replay them to the event bus.,Use CloudTrail event history as the application queue | Use S3 Glacier Deep Archive with no processing | Use a NAT gateway
SAA-098,Resilience,26,Event Routing,Build durable stream processing,high-volume ordered records need multiple shard consumers,Use Amazon Kinesis Data Streams with suitable retention and enhanced fan-out when needed,Kinesis provides partitioned durable streaming and independent consumers.,Use SNS email | Use one EBS volume | Use Route 53 failover
SAA-099,Resilience,26,Event Routing,Recover failed stream records,Lambda stream consumer needs record-level failure handling,"Use partial batch response, retries, bisect batch, and an on-failure destination where supported",These controls isolate failed records without replaying successful records unnecessarily.,Always discard an entire shard | Disable checkpoints | Use CloudFront
SAA-100,Resilience,26,Event Routing,Decouple event producers from SaaS targets,events must be delivered reliably to an external HTTP endpoint,Use EventBridge API Destinations with a connection and retry/DLQ controls,API Destinations provide managed authenticated HTTP delivery.,Embed the SaaS password in every producer | Use a public S3 bucket | Use EFS
SAA-101,Performance,24,CloudFront and Edge,Reduce global content latency,global users retrieve cacheable static or dynamic content,Place CloudFront in front of the origin,CloudFront caches at edge locations and uses the AWS backbone.,Move the origin to one central region only | Increase origin instance size only | Use S3 Glacier
SAA-102,Performance,24,CloudFront and Edge,Accelerate uploads to S3,globally distributed clients upload large objects to one bucket,Enable S3 Transfer Acceleration,Transfer Acceleration uses edge locations and optimized paths to S3.,Use CloudFront download caching only | Use an EBS gp3 volume | Use Route 53 private DNS
SAA-103,Performance,24,CloudFront and Edge,Improve TCP and UDP application latency,global non-HTTP application needs static IPs and optimized routing,Use AWS Global Accelerator,Global Accelerator supports TCP and UDP and routes over the AWS global network.,Use CloudFront for arbitrary UDP | Use S3 Transfer Acceleration for application traffic | Use a NAT instance
SAA-104,Performance,24,CloudFront and Edge,Control cache freshness,content changes and needs predictable edge refresh,"Set appropriate cache-control headers, cache policies, and invalidations",Cache keys and TTLs determine edge reuse; invalidation removes urgent stale objects.,Disable caching entirely for all content | Increase database IOPS only | Use an SCP
SAA-105,Performance,24,CloudFront and Edge,Optimize origin load,many requests vary only by irrelevant headers or query strings,Use a CloudFront cache policy that includes only required cache-key values,A smaller correct cache key improves hit ratio and reduces origin requests.,Forward every viewer header and cookie | Use a larger NAT gateway | Use EBS encryption
SAA-106,Performance,24,EC2 Performance,Choose compute-optimized instances,CPU-bound workload needs high compute per dollar,Use a compute-optimized EC2 family,Compute-optimized families provide proportionally high CPU resources.,Use storage-optimized instances | Use burstable instances under sustained CPU without credits | Use S3 Glacier
SAA-107,Performance,24,EC2 Performance,Choose memory-optimized instances,in-memory database needs large RAM capacity,Use a memory-optimized EC2 family,Memory-optimized families are designed for large working sets.,Use compute-optimized only | Use a NAT gateway | Use S3 Standard
SAA-108,Performance,24,EC2 Performance,Choose storage-optimized instances,workload requires high local IOPS and throughput,Use a storage-optimized EC2 family with instance storage as appropriate,Storage-optimized families provide high local storage performance.,Use micro burstable instances | Use CloudFront | Use Route 53
